00000_0_0.1800.png,48.85,0.997
00000_0_0.5620.png,44.03,0.992
00000_0_0.9530.png,31.45,0.913
00000_1_0.2340.png,48.19,0.997
00000_1_0.6080.png,46.67,0.996
00000_1_0.8580.png,42.47,0.988
00000_2_0.3510.png,49.09,0.998
00000_2_0.5190.png,48.26,0.997
00000_2_0.7630.png,43.39,0.990
00001_0_0.2400.png,45.61,0.997
00001_0_0.5530.png,39.32,0.987
00001_0_0.7880.png,38.28,0.980
00001_1_0.1030.png,43.87,0.997
00001_1_0.4360.png,41.09,0.991
00001_1_0.7950.png,39.56,0.985
00001_2_0.1200.png,41.72,0.997
00001_2_0.4070.png,40.50,0.989
00001_2_0.7140.png,39.62,0.984
00002_0_0.1480.png,46.12,0.998
00002_0_0.6940.png,43.94,0.992
00002_0_0.8680.png,40.27,0.980
00002_1_0.2100.png,44.83,0.996
00002_1_0.4210.png,42.95,0.991
00002_1_0.7510.png,42.21,0.989
00002_2_0.2940.png,45.34,0.995
00002_2_0.5500.png,42.71,0.989
00002_2_0.7120.png,44.20,0.994
00003_0_0.3100.png,46.69,0.997
00003_0_0.6300.png,45.36,0.995
00003_0_0.7510.png,39.01,0.978
00003_1_0.1660.png,50.39,0.999
00003_1_0.6540.png,43.19,0.992
00003_1_0.8130.png,39.21,0.980
00003_2_0.2960.png,47.67,0.997
00003_2_0.5760.png,45.36,0.995
00003_2_0.8160.png,35.89,0.958
00004_0_0.1060.png,49.91,0.999
00004_0_0.6650.png,40.69,0.987
00004_0_0.8460.png,39.49,0.984
00004_1_0.2990.png,47.60,0.998
00004_1_0.6720.png,42.33,0.991
00004_1_0.9880.png,31.15,0.897
00004_2_0.3030.png,45.79,0.996
00004_2_0.5550.png,43.94,0.994
00004_2_0.9650.png,37.87,0.979
00005_0_0.3380.png,46.42,0.995
00005_0_0.4130.png,45.65,0.996
00005_0_0.7600.png,41.41,0.981
00005_1_0.2370.png,47.29,0.997
00005_1_0.4070.png,45.18,0.992
00005_1_0.7650.png,38.69,0.977
00005_2_0.1490.png,46.59,0.998
00005_2_0.5110.png,44.02,0.990
00005_2_0.9550.png,40.38,0.975
00006_0_0.3020.png,47.16,0.995
00006_0_0.4490.png,45.15,0.991
00006_0_0.7730.png,42.29,0.982
00006_1_0.1220.png,49.03,0.998
00006_1_0.5600.png,44.48,0.990
00006_1_0.7540.png,42.63,0.980
00006_2_0.2900.png,47.28,0.995
00006_2_0.4310.png,44.91,0.990
00006_2_0.7330.png,43.81,0.988
00007_0_0.1310.png,50.55,0.999
00007_0_0.5260.png,44.78,0.994
00007_0_0.9780.png,35.98,0.950
00007_1_0.1560.png,49.02,0.998
00007_1_0.4360.png,44.87,0.995
