0001_0.8_0.2.jpg,32.60,0.988
0002_0.8_0.08.jpg,34.06,0.988
0003_0.8_0.2.jpg,32.20,0.976
0004_0.9_0.12.jpg,30.42,0.986
0006_0.85_0.08.jpg,37.02,0.987
0007_0.9_0.16.jpg,32.04,0.984
0009_0.8_0.16.jpg,31.46,0.974
0010_0.95_0.16.jpg,32.65,0.972
0011_0.95_0.16.jpg,38.28,0.984
0014_0.8_0.12.jpg,33.36,0.989
0016_0.8_0.08.jpg,32.53,0.990
0017_0.9_0.08.jpg,35.45,0.987
0018_0.9_0.2.jpg,34.27,0.986
0019_0.8_0.16.jpg,36.53,0.989
0021_0.8_0.08.jpg,34.09,0.988
0022_0.8_0.08.jpg,39.02,0.990
0023_0.85_0.12.jpg,39.22,0.986
0024_0.85_0.08.jpg,38.73,0.968
0025_0.8_0.16.jpg,33.78,0.985
0026_0.95_0.08.jpg,34.52,0.987
0029_0.85_0.08.jpg,35.25,0.987
0030_0.95_0.12.jpg,34.02,0.988
0033_0.85_0.08.jpg,36.20,0.989
0034_0.9_0.16.jpg,36.75,0.989
0036_1_0.08.jpg,35.23,0.993
0039_0.9_0.2.jpg,33.03,0.979
0040_1_0.08.jpg,34.83,0.990
0042_0.8_0.2.jpg,33.41,0.987
0045_0.8_0.16.jpg,34.43,0.988
0046_0.9_0.16.jpg,35.07,0.981
0047_0.9_0.12.jpg,36.43,0.973
0048_0.9_0.2.jpg,34.06,0.984
0049_0.85_0.12.jpg,34.75,0.992
0051_0.8_0.2.jpg,35.28,0.989
0051_0.95_0.12.jpg,37.23,0.992
0052_0.9_0.16.jpg,32.47,0.985
0053_0.9_0.12.jpg,33.55,0.983
0054_0.85_0.16.jpg,35.10,0.987
0055_0.85_0.12.jpg,38.11,0.983
0056_0.8_0.16.jpg,38.69,0.990
0057_0.8_0.12.jpg,32.74,0.989
0058_0.8_0.2.jpg,32.23,0.981
0059_0.9_0.12.jpg,34.32,0.988
0060_0.9_0.2.jpg,30.38,0.961
0061_0.8_0.2.jpg,36.46,0.960
0062_0.9_0.2.jpg,30.21,0.973
0063_0.8_0.16.jpg,31.04,0.983
0064_0.8_0.2.jpg,34.50,0.983
0065_0.9_0.12.jpg,33.52,0.988
0066_1_0.08.jpg,33.68,0.993
0068_1_0.16.jpg,29.29,0.978
0069_0.9_0.16.jpg,32.78,0.973
0070_0.9_0.12.jpg,34.10,0.987
0071_0.8_0.2.jpg,34.79,0.985
0072_0.9_0.2.jpg,31.15,0.949
0073_0.8_0.16.jpg,36.66,0.977
0074_0.8_0.2.jpg,33.12,0.948
0075_0.8_0.2.jpg,32.43,0.987
0076_0.8_0.2.jpg,31.04,0.961
0076_1_0.16.jpg,31.34,0.966
0077_0.8_0.2.jpg,32.85,0.958
0079_0.8_0.12.jpg,34.05,0.986
0081_0.8_0.2.jpg,33.02,0.989
0082_0.85_0.16.jpg,28.30,0.980
0083_0.85_0.12.jpg,34.79,0.983
0084_0.95_0.16.jpg,27.90,0.968
0085_0.95_0.08.jpg,36.48,0.986
0086_0.8_0.2.jpg,32.01,0.970
0086_0.95_0.12.jpg,32.81,0.974
0087_0.9_0.16.jpg,33.62,0.982
0088_0.9_0.12.jpg,39.03,0.991
0089_0.9_0.2.jpg,29.39,0.978
0090_0.85_0.12.jpg,30.27,0.989
0091_0.85_0.2.jpg,29.70,0.980
